,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Plays,Yds,Pts
67,1953,12,258.1,3689.2,786.3,4.7,42.5,17.0,202.4,168.3,355.6,2085.4,15.8,25.5,5.4,99.2,401.4,1603.8,14.1,4.0,90.8,66.8,584.0,12.4,,,,,,
68,1952,12,267.3,3529.4,796.8,4.4,43.2,18.4,194.4,155.3,335.3,1919.4,18.2,24.8,5.1,94.8,422.4,1610.0,12.3,3.8,86.8,76.8,692.5,12.8,,,,,,
69,1951,12,263.3,3776.5,805.3,4.7,39.7,15.7,214.5,150.8,323.4,1952.9,16.7,24.0,5.5,91.6,450.2,1823.6,14.6,4.1,104.8,79.3,707.3,18.1,,,,,,
70,1950,13,275.3,3840.8,807.8,4.8,44.8,18.4,204.4,154.5,331.3,1988.9,16.9,26.4,5.5,88.2,445.6,1851.9,16.0,4.2,101.3,81.2,737.4,14.9,,,,,,
71,1949,10,269.9,3739.6,818.0,4.6,40.2,15.5,209.7,152.7,327.5,1932.4,16.8,24.7,5.5,93.1,464.1,1807.2,15.9,3.9,99.8,74.6,675.4,16.8,,,,,,
72,1948,10,278.9,3904.9,766.5,5.1,41.7,18.5,209.3,149.8,311.6,2087.1,19.6,23.2,6.7,90.3,454.9,1817.8,15.1,4.0,101.2,90.3,812.7,17.8,,,,,,
73,1947,10,263.4,3834.8,727.2,5.3,41.5,16.5,199.2,140.6,299.1,2167.0,18.8,25.0,7.2,87.8,428.1,1667.8,13.5,3.9,91.5,91.0,826.6,19.9,,,,,,
74,1946,10,207.9,2954.5,650.0,4.5,39.8,18.6,162.7,104.9,234.1,1573.6,12.6,21.2,6.7,64.3,415.9,1380.9,14.1,3.3,83.4,83.1,741.4,15.0,,,,,,
75,1945,10,184.9,2664.9,572.5,4.7,30.2,10.9,121.1,96.1,210.7,1437.7,10.9,19.3,6.8,47.8,361.8,1227.2,13.4,3.4,61.5,63.0,570.6,11.8,,,,,,
76,1944,11,163.7,2256.7,530.7,4.3,31.4,10.1,104.1,82.4,192.2,1175.0,10.6,21.3,6.1,42.0,338.5,1081.7,10.7,3.2,54.1,62.3,487.0,8.0,,,,,,
77,1943,10,155.6,2077.2,467.7,4.4,25.6,7.4,93.5,76.9,173.2,1130.8,11.4,18.2,6.5,36.1,294.5,946.4,8.5,3.2,50.3,43.9,358.0,7.1,,,,,,
78,1942,10,174.5,2714.9,630.1,4.3,33.5,11.6,129.8,98.6,224.9,1360.8,10.8,21.9,6.1,50.8,405.2,1354.1,9.7,3.3,68.8,52.3,440.6,10.2,,,,,,
79,1941,10,181.2,2623.7,628.6,4.2,34.6,12.6,127.2,97.8,221.0,1339.7,9.9,22.0,6.1,48.0,407.6,1284.0,11.4,3.2,70.0,47.2,421.8,9.2,,,,,,
80,1940,10,165.7,2694.8,639.0,4.2,22.3,0.0,126.1,96.8,225.4,1378.8,10.0,22.3,6.1,,413.6,1316.0,10.0,3.2,126.1,0.0,336.2,,,,,,,
81,1939,10,169.2,2743.7,631.3,4.3,20.9,0.0,121.9,95.2,223.8,1416.8,9.9,20.9,6.3,,407.5,1326.9,10.2,3.3,121.9,0.0,276.2,,,,,,,
82,1938,10,148.4,2534.9,617.3,4.1,22.1,0.0,119.0,82.4,203.0,1164.1,9.3,22.1,5.7,,414.3,1370.8,8.3,3.3,119.0,0.0,284.6,,,,,,,
83,1937,10,142.4,2418.6,607.7,4.0,20.6,0.0,109.8,69.7,181.5,1022.7,9.0,20.6,5.6,,426.2,1395.9,6.7,3.3,109.8,0.0,277.5,,,,,,,
84,1936,9,142.7,2703.3,678.8,4.0,24.0,0.0,129.6,67.1,184.0,995.6,7.4,24.0,5.4,,494.8,1707.8,8.6,3.5,129.6,0.0,311.4,,,,,,,
